airbnb_id,zipcode,latitude,longitude,city,state,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,host_location,host_neighbourhood,market,smart_location,jurisdiction_names,country_code,country
6515667,60614,41.91240543651919,-87.63806956846449,Chicago,IL,"West Eugenie Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Roscoe Village,Chicago,"Chicago, IL",CHICAGO,US,United States
7596979,60614,41.92499500357012,-87.63860377508456,Chicago,IL,"North Commonwealth Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
699284,60614,41.929291413030015,-87.64894837949329,Chicago,IL,"N Burling St, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
863120,60614,41.92169541816429,-87.65958632251967,Chicago,IL,"North Lakewood Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
3206029,60614,41.92196274766463,-87.66563804848133,Chicago,IL,"North Clybourn Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7727933,60614,41.92746842340301,-87.65692688383929,Chicago,IL,"West Montana Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7645950,60614,41.91604677051097,-87.63673014236191,Chicago,IL,"West Wisconsin Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,US,Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
4303597,60614,41.93087392797923,-87.65244856518233,Chicago,IL,"North Mildred Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
3975919,60614,41.921660564738474,-87.65587094601541,Chicago,IL,"West Webster Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
10945,60614,41.91182684931927,-87.63999816109653,Chicago,IL,"West Eugenie Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
1321332,60614,41.929127069991296,-87.66920677376565,Chicago,IL,"North Ashland Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4418740,60614,41.92436116919024,-87.64129175343881,Chicago,IL,"W Belden Ave, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
355378,60614,41.9296079797782,-87.63843052505361,Chicago,IL,"N Lakeview Ave, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,US,Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
387336,60614,41.92911991413276,-87.65957775893266,Chicago,IL,"W Draper St, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5564616,60614,41.927546227731554,-87.6418179637198,Chicago,IL,"W St James Pl, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5531589,60614,41.93244629845068,-87.6491853154773,Chicago,IL,"North Halsted Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
3959441,60614,41.93111433662519,-87.67695390371217,Chicago,IL,"West Diversey Parkway, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
8055387,60614,41.91225397966048,-87.65157393154199,Chicago,IL,"North Clybourn Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4827725,60614,41.92968034051028,-87.64433029486165,Chicago,IL,"West Wrightwood Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6973964,60614,41.92720160225902,-87.65732182243863,Chicago,IL,"West Lill Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
3273109,60614,41.9135216381575,-87.64979843994598,Chicago,IL,"North Bissell Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6645603,60614,41.92615691831411,-87.63972657741324,Chicago,IL,"West Saint James Place, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6629217,60614,41.93128119006003,-87.63835038332857,Chicago,IL,"W Diversey Pkwy, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
7022396,60614,41.91943004686902,-87.64108458684902,Chicago,IL,"West Armitage Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7022379,60614,41.92242645277802,-87.65671517154723,Chicago,IL,"W Webster Ave, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
8070936,60614,41.9174436981985,-87.6536821155347,Chicago,IL,"West Armitage Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7022206,60614,41.920836765778816,-87.63965123495416,Chicago,IL,"North Sedgwick Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,US,Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4040288,60614,41.915467369161206,-87.6361510194935,Chicago,IL,"North Wells Street, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
9811,60614,41.916541236120224,-87.63676543696494,Chicago,IL,"North Lincoln Avenue, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
3433796,60614,41.92682829025516,-87.63904311681232,Chicago,IL,"West Fullerton Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lakeview,Chicago,"Chicago, IL",CHICAGO,US,United States
533831,60614,41.91269299893785,-87.64250486324484,Chicago,IL,"N Larrabee St, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
7693611,60614,41.9317481738991,-87.65239026082138,Chicago,IL,"North Mildred Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
25879,60614,41.926934531158814,-87.65752710877798,Chicago,IL,"N Seminary Ave, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4596953,60614,41.92760018243001,-87.64134855984429,Chicago,IL,"West Saint James Place, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6382734,60614,41.921077185494894,-87.63749243758187,Chicago,IL,"West Dickens Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,US,Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
