airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
4662607,22568853,2014-10-15,60,0.95,0.91,TRUE,2,2,TRUE,TRUE,FALSE,house,private_room,1,1,1,1,bed,NA,48,300,1025,NA,NA,1,0,2,31,TRUE,7,37,67,342,2015-10-03,32,2014-12-15,2015-10-02,94,10,9,10,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,3.28,0
6809525,35646323,2015-06-12,720,0.68,0.93,FALSE,1,1,TRUE,FALSE,FALSE,apartment,entire_place,2,1,1,1,bed,NA,89,NA,NA,200,25,0,0,1,1125,TRUE,22,52,82,357,2015-10-03,14,2015-06-14,2015-09-24,80,8,8,8,9,9,8,TRUE,NA,FALSE,strict,FALSE,FALSE,1,3.75,60
2909394,9296373,2013-10-08,1440,0.85,0.78,FALSE,2,2,TRUE,TRUE,TRUE,apartment,shared_room,3,1,1,1,airbed,NA,40,NA,NA,NA,10,2,10,2,6,TRUE,20,35,35,121,2015-10-03,51,2014-05-19,2015-08-14,96,10,9,10,10,9,10,TRUE,NA,FALSE,strict,FALSE,FALSE,2,3.04,3
7562838,39647345,2015-07-26,60,1,0.78,FALSE,1,1,TRUE,TRUE,FALSE,apartment,entire_place,2,1,0,1,bed,NA,69,411,NA,NA,NA,2,25,2,1125,TRUE,0,4,13,40,2015-10-03,3,2015-08-24,2015-09-08,100,10,10,10,10,9,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,2.2,4
8184419,12059071,2014-02-08,60,1,0.91,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,1,bed,NA,74,479,NA,NA,9,1,0,1,120,TRUE,26,56,86,175,2015-10-03,5,2015-09-09,2015-10-01,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,5,0
7561774,9318286,2013-10-08,1440,1,0.92,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,4,1,1,1,bed,NA,200,NA,NA,NA,NA,1,0,1,1125,TRUE,5,18,48,247,2015-10-03,4,2015-08-02,2015-09-27,90,10,8,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,1,1.9,14
4252198,21295226,2014-09-13,60,1,0.78,FALSE,1,1,TRUE,FALSE,FALSE,apartment,private_room,2,1,1,1,bed,NA,79,700,NA,NA,NA,1,0,2,30,TRUE,4,22,52,327,2015-10-03,8,2014-10-20,2015-09-28,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.69,3
1516064,3371095,2012-08-25,1440,0.8,1,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,65,425,1200,NA,NA,1,0,1,1125,TRUE,0,0,26,301,2015-10-03,12,2013-08-19,2014-11-30,93,10,9,10,10,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.46,7
7692835,40401910,2015-08-03,60,1,1,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,2,1,0,1,bed,NA,62,355,NA,NA,25,1,0,2,16,TRUE,2,17,46,46,2015-10-03,1,2015-09-28,2015-09-28,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1,0
7807249,6341372,2013-05-11,720,1,0.95,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,53,NA,NA,NA,7,1,10,1,1125,TRUE,13,43,73,348,2015-10-03,13,2015-08-15,2015-09-29,94,9,9,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,7.8,4
